year,sample,signal_correction_f,signal_df_over_f_pct,background_correction_f,background_df_over_f_pct,total_correction_f,total_df_over_f_pct
1993,peak-2,1.1032,0.17,0.9900,0.03,1.0922,0.17
1993,peak,1.1022,0.15,0.9907,0.03,1.0920,0.16
1993,peak+2,1.1034,0.17,0.9903,0.03,1.0927,0.17
1994,peak,1.1024,0.09,0.9897,0.05,1.0910,0.14
1995,peak-2,1.1071,0.18,0.9889,0.03,1.0948,0.18
1995,peak,1.1034,0.12,0.9897,0.03,1.0920,0.12
1995,peak+2,1.1056,0.16,0.9892,0.03,1.0937,0.17
