year,sample,signal_correction_f,signal_df_over_f_pct,background_correction_f,background_df_over_f_pct,total_correction_f,total_df_over_f_pct
1993,peak-2,1.0098,0.20,0.9979,0.04,1.0078,0.21
1993,peak,1.0091,0.16,0.9966,0.06,1.0057,0.17
1993,peak+2,1.0096,0.17,0.9961,0.08,1.0057,0.19
1994,peak,1.0105,0.13,0.9966,0.06,1.0071,0.14
1995,peak-2,1.0112,0.20,0.9979,0.04,1.0091,0.20
1995,peak,1.0105,0.15,0.9966,0.06,1.0070,0.16
1995,peak+2,1.0110,0.17,0.9961,0.08,1.0070,0.18
