year,sample,signal_correction_f,signal_df_over_f_pct,background_correction_f,background_df_over_f_pct,total_correction_f,total_df_over_f_pct
1993,peak-2,1.00542,0.071,0.99314,0.073,0.99852,0.102
1993,peak,1.00501,0.066,0.99666,0.031,1.00166,0.073
1993,peak+2,1.00511,0.067,0.99463,0.055,0.99971,0.086
1994,peak,1.00501,0.066,0.99666,0.031,1.00166,0.073
1995,peak-2,1.00593,0.083,0.99314,0.073,0.99902,0.111
1995,peak,1.00551,0.079,0.99666,0.031,1.00216,0.085
1995,peak+2,1.00561,0.079,0.99463,0.055,1.00021,0.096
